campaign_position,attempt_id,substudy,scenario_id,task_family,N,task_id,center_mode,scale_mode,scale_label,time_mode,c_exec_x,c_exec_y,c_exec_z,r_exec,T_exec,center_source,c_semantics_ok,r_semantics_ok,T_semantics_ok,all_semantics_ok
1,E5V2-B-S2-N12-R1,E5-v2B,E5V2-B-S2-N12,UNDER_SPECIFIED,12,1,maintain_current_centroid,qualitative,normal,auto,0.007698824862018228,19.498651532102183,1.5027990440527599,4.346666218300812,6.297292521787627,candidate.maintain_current_centroid,True,True,True,True
2,E5V2-B-S2-N8-R1,E5-v2B,E5V2-B-S2-N8,UNDER_SPECIFIED,8,1,maintain_current_centroid,qualitative,normal,auto,0.006716099305776879,13.499971417200868,1.4949970990419388,2.9397666709718475,4.637436725408599,candidate.maintain_current_centroid,True,True,True,True
3,E5V2-B-S1-N16-R1,E5-v2B,E5V2-B-S1-N16,SIMPLE,16,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
4,E5V2-A1-REL-COMPACT-CIRCLE-R1,E5-v2A,E5V2-A1-REL-COMPACT-CIRCLE,,8,1,relative,qualitative,compact,auto,3.010190753651841,13.503554057026122,2.503948286175728,2.3518133367774783,4.304047350775635,snapshot.participant_centroid+world_offset,True,True,True,True
5,E5V2-A3-REL-SPACIOUS-SPHERE-R1,E5-v2A,E5V2-A3-REL-SPACIOUS-SPHERE,,8,1,relative,qualitative,spacious,auto,0.00801692606182769,13.497512635230123,6.505547672510147,3.7205877811845802,4.938689574947504,snapshot.participant_centroid+world_offset,True,True,True,True
6,E5V2-B-S1-N12-R1,E5-v2B,E5V2-B-S1-N12,SIMPLE,12,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
7,E5V2-B-S3-N12-R1,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
7,E5V2-B-S3-N12-R1,E5-v2B,E5V2-B-S3-N12,COMPOSITIONAL,12,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
8,E5V2-A2-MAINTAIN-NORMAL-LINE-R1,E5-v2A,E5V2-A2-MAINTAIN-NORMAL-LINE,,8,1,maintain_current_centroid,qualitative,normal,auto,0.00381527746503707,13.497704020730453,1.4978759586811066,2.25,6.3992432280641784,candidate.maintain_current_centroid,True,True,True,True
9,E5V2-B-S2-N16-R1,E5-v2B,E5V2-B-S2-N16,UNDER_SPECIFIED,16,1,maintain_current_centroid,qualitative,normal,auto,0.010345884100388503,25.503842793259537,1.5033877789974213,5.766559757418396,9.200668864761884,candidate.maintain_current_centroid,True,True,True,True
10,E5V2-B-S3-N16-R1,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
10,E5V2-B-S3-N16-R1,E5-v2B,E5V2-B-S3-N16,COMPOSITIONAL,16,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
11,E5V2-B-S3-N8-R1,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,1,absolute,explicit,,explicit,-6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
11,E5V2-B-S3-N8-R1,E5-v2B,E5V2-B-S3-N8,COMPOSITIONAL,8,2,absolute,explicit,,explicit,6.0,18.0,4.0,3.0,14.0,candidate.absolute,True,True,True,True
12,E5V2-B-S1-N8-R1,E5-v2B,E5V2-B-S1-N8,SIMPLE,8,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
13,E5V2-B-S1-N16-R2,E5-v2B,E5V2-B-S1-N16,SIMPLE,16,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
14,E5V2-A2-MAINTAIN-NORMAL-LINE-R2,E5-v2A,E5V2-A2-MAINTAIN-NORMAL-LINE,,8,1,maintain_current_centroid,qualitative,normal,auto,0.004867251263931394,13.495792535279179,1.499979093670845,2.25,6.399556539300435,candidate.maintain_current_centroid,True,True,True,True
15,E5V2-B-S1-N12-R2,E5-v2B,E5V2-B-S1-N12,SIMPLE,12,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
16,E5V2-B-S2-N8-R2,E5-v2B,E5V2-B-S2-N8,UNDER_SPECIFIED,8,1,maintain_current_centroid,qualitative,normal,auto,0.00546040581411944,13.500023290487661,1.5016987472772598,2.9397666709718475,4.6363514223420745,candidate.maintain_current_centroid,True,True,True,True
17,E5V2-A1-REL-COMPACT-CIRCLE-R2,E5-v2A,E5V2-A1-REL-COMPACT-CIRCLE,,8,1,relative,qualitative,compact,auto,3.00771364364482,13.497983747307444,2.5014706552028656,2.3518133367774783,4.3044758700315295,snapshot.participant_centroid+world_offset,True,True,True,True
18,E5V2-B-S2-N16-R2,E5-v2B,E5V2-B-S2-N16,UNDER_SPECIFIED,16,1,maintain_current_centroid,qualitative,normal,auto,0.007356460075243376,25.5010813522058,1.5016365200281143,5.766559757418396,9.195831652259086,candidate.maintain_current_centroid,True,True,True,True
19,E5V2-B-S1-N8-R2,E5-v2B,E5V2-B-S1-N8,SIMPLE,8,1,absolute,explicit,,explicit,0.0,18.0,4.0,6.0,14.0,candidate.absolute,True,True,True,True
