command_id,command_type,complexity,method,valid_json,rejected,rejection_category,schema_valid,semantic_valid,compilation_success,executable,retry_count,attempt_count,latency_ms,prompt_tokens,completion_tokens,error_type,error_detail,payload_json,compiled_json,goals_json,valid_input,expected_error,correct_rejection,false_executable,missing_field_count,required_field_slots,invalid_uav_count,uav_reference_count,invalid_formation_count,formation_task_count
simple_01,simple,1,lfs_schema,true,false,,true,false,true,true,0,1,6880,585,409,,,"{""lfs_version"":""1.0"",""tasks"":[{""task_id"":1,""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[2,9,3],""r"":3,""T"":12,""m"":""normal"",""s"":1.0,""q"":""direct""}]}","{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":12.0,""uav_id"":[1,2,3,4,5],""uav_count"":5,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[2.0,9.0,3.0],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Circle"",""formation_radius"":3.0}}]}","[{""uav_ids"":[1,2,3,4,5],""goals"":[[5.0,9.0,3.0],[2.9270509831248424,11.853169548885461,3.0],[-0.4270509831248419,10.76335575687742,3.0],[-0.4270509831248428,7.236644243122581,3.0],[2.9270509831248415,6.146830451114539,3.0]]}]",true,,false,false,0,8,0,5,0,1
simple_01,simple,1,task_json_no_schema,true,false,,false,false,true,true,0,1,7153,513,566,,,"{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":12,""uav_id"":[1,2,3,4,5],""uav_count"":5,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[2,9,3],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Circle"",""formation_radius"":3}}]}","{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":12,""uav_id"":[1,2,3,4,5],""uav_count"":5,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[2,9,3],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Circle"",""formation_radius"":3}}]}","[{""uav_ids"":[1,2,3,4,5],""goals"":[[5.0,9.0,3.0],[2.9270509831248424,11.853169548885461,3.0],[-0.4270509831248419,10.76335575687742,3.0],[-0.4270509831248428,7.236644243122581,3.0],[2.9270509831248415,6.146830451114539,3.0]]}]",true,,false,false,0,12,0,5,0,1
simple_01,simple,1,lfs_schema_semantic,true,false,,true,true,true,true,0,1,7374,585,466,,,"{""lfs_version"":""1.0"",""tasks"":[{""task_id"":1,""U"":[1,2,3,4,5],""F"":""Circle"",""c"":[2,9,3],""r"":3,""T"":12,""m"":""normal"",""s"":1.0,""q"":""direct""}]}","{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":12.0,""uav_id"":[1,2,3,4,5],""uav_count"":5,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[2.0,9.0,3.0],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Circle"",""formation_radius"":3.0}}]}","[{""uav_ids"":[1,2,3,4,5],""goals"":[[5.0,9.0,3.0],[2.9270509831248424,11.853169548885461,3.0],[-0.4270509831248419,10.76335575687742,3.0],[-0.4270509831248428,7.236644243122581,3.0],[2.9270509831248415,6.146830451114539,3.0]]}]",true,,false,false,0,8,0,5,0,1
simple_02,simple,2,task_json_no_schema,true,false,,false,false,true,true,0,1,8826,513,609,,,"{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":8,""uav_id"":[1,2,3,4],""uav_count"":4,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[0,0,4],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Line"",""formation_radius"":2}}]}","{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":8,""uav_id"":[1,2,3,4],""uav_count"":4,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[0,0,4],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Line"",""formation_radius"":2}}]}","[{""uav_ids"":[1,2,3,4],""goals"":[[-3.0,0.0,4.0],[-1.0,0.0,4.0],[1.0,0.0,4.0],[3.0,0.0,4.0]]}]",true,,false,false,0,12,0,4,0,1
simple_02,simple,2,lfs_schema,true,false,,true,false,true,true,0,1,10704,585,785,,,"{""lfs_version"":""1.0"",""tasks"":[{""task_id"":1,""U"":[1,2,3,4],""F"":""Line"",""c"":[0,0,4],""r"":2,""T"":8,""m"":""normal"",""s"":1.0,""q"":""direct""}]}","{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":8.0,""uav_id"":[1,2,3,4],""uav_count"":4,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[0.0,0.0,4.0],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Line"",""formation_radius"":2.0}}]}","[{""uav_ids"":[1,2,3,4],""goals"":[[-3.0,0.0,4.0],[-1.0,0.0,4.0],[1.0,0.0,4.0],[3.0,0.0,4.0]]}]",true,,false,false,0,8,0,4,0,1
simple_01,simple,1,direct_waypoint,true,false,,false,false,true,true,0,1,18852,471,1337,,,"{""tasks"":[{""task_id"":1,""formation_type"":""Circle"",""duration"":12,""motion_style"":""normal"",""safety_factor"":1.0,""trigger"":""direct"",""uav_to_goal"":[{""uav_id"":1,""goal"":[5.0,9.0,3.0]},{""uav_id"":2,""goal"":[2.927,11.853,3.0]},{""uav_id"":3,""goal"":[-0.427,10.763,3.0]},{""uav_id"":4,""goal"":[-0.427,7.237,3.0]},{""uav_id"":5,""goal"":[2.927,6.147,3.0]}]}]}",,"[{""uav_ids"":[1,2,3,4,5],""goals"":[[5.0,9.0,3.0],[2.927,11.853,3.0],[-0.427,10.763,3.0],[-0.427,7.237,3.0],[2.927,6.147,3.0]]}]",true,,false,false,0,7,0,5,0,1
simple_02,simple,2,direct_waypoint,true,false,,false,false,true,true,0,1,16204,471,1134,,,"{""tasks"":[{""task_id"":1,""formation_type"":""Line"",""duration"":8,""motion_style"":""normal"",""safety_factor"":1.0,""trigger"":""direct"",""uav_to_goal"":[{""uav_id"":1,""goal"":[-3,0,4]},{""uav_id"":2,""goal"":[-1,0,4]},{""uav_id"":3,""goal"":[1,0,4]},{""uav_id"":4,""goal"":[3,0,4]}]}]}",,"[{""uav_ids"":[1,2,3,4],""goals"":[[-3.0,0.0,4.0],[-1.0,0.0,4.0],[1.0,0.0,4.0],[3.0,0.0,4.0]]}]",true,,false,false,0,7,0,4,0,1
simple_02,simple,2,lfs_schema_semantic,true,false,,true,true,true,true,0,1,7111,585,541,,,"{""lfs_version"":""1.0"",""tasks"":[{""task_id"":1,""U"":[1,2,3,4],""F"":""Line"",""c"":[0,0,4],""r"":2,""T"":8,""m"":""normal"",""s"":1.0,""q"":""direct""}]}","{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":8.0,""uav_id"":[1,2,3,4],""uav_count"":4,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[0.0,0.0,4.0],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Line"",""formation_radius"":2.0}}]}","[{""uav_ids"":[1,2,3,4],""goals"":[[-3.0,0.0,4.0],[-1.0,0.0,4.0],[1.0,0.0,4.0],[3.0,0.0,4.0]]}]",true,,false,false,0,8,0,4,0,1
simple_03,simple,1,task_json_no_schema,true,false,,false,false,true,true,0,1,10750,516,895,,,"{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":10,""uav_id"":[1,2,3,4,5,6],""uav_count"":6,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[1,1,5],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Sphere"",""formation_radius"":2.5}}]}","{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":10,""uav_id"":[1,2,3,4,5,6],""uav_count"":6,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[1,1,5],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Sphere"",""formation_radius"":2.5}}]}","[{""uav_ids"":[1,2,3,4,5,6],""goals"":[[1.0,3.5,5.0],[-0.4747377561566397,2.5,6.350980588523048],[1.214148415949579,1.5,2.5598892533439623],[2.4903647490784038,0.5000000000000001,6.943916900154033],[-0.9694269706308574,-0.5000000000000002,4.651636099241377],[1.0,-1.5,5.0]]}]",true,,false,false,0,12,0,6,0,1
simple_03,simple,1,lfs_schema_semantic,true,false,,true,true,true,true,0,1,7487,588,560,,,"{""lfs_version"":""1.0"",""tasks"":[{""task_id"":1,""U"":[1,2,3,4,5,6],""F"":""Sphere"",""c"":[1,1,5],""r"":2.5,""T"":10,""m"":""normal"",""s"":1.0,""q"":""direct""}]}","{""task_sequences"":[{""task_sequence_id"":1,""duration_seconds"":10.0,""uav_id"":[1,2,3,4,5,6],""uav_count"":6,""trigger_condition"":""direct_execution"",""wait_time"":null,""iapf_safety_margin_factor"":1.0,""motion_profile"":""normal"",""constraints"":[""minimal_topology_change"",""no_trajectory_cross"",""keep_safety_distance""],""global_center"":[1.0,1.0,5.0],""generation_mode"":""parametric"",""parametric_data"":{""formation_type"":""Sphere"",""formation_radius"":2.5}}]}","[{""uav_ids"":[1,2,3,4,5,6],""goals"":[[1.0,3.5,5.0],[-0.4747377561566397,2.5,6.350980588523048],[1.214148415949579,1.5,2.5598892533439623],[2.4903647490784038,0.5000000000000001,6.943916900154033],[-0.9694269706308574,-0.5000000000000002,4.651636099241377],[1.0,-1.5,5.0]]}]",true,,false,false,0,8,0,6,0,1
